"","kME_MM.turquoise","kME_MM.yellow","kME_MM.brown","kME_MM.blue","kME_MM.green","kME_MM.grey"
"Gene.839",0.887223646771168,0.495326153181311,0.567150305609247,-0.0950052894101305,-0.12819357183024,0.175339150325314
"Gene.840",0.908497554307557,0.591150040618952,0.48634092217511,-0.210626614873436,-0.279246992153361,0.209501614675107
"Gene.841",0.872943372685916,0.620663590079995,0.247855482119616,-0.394028318368105,-0.523756745920763,0.374459527729843
"Gene.842",-0.212113757202053,-0.0171021530473082,-0.352701205551837,-0.146889949898523,0.299032306477894,0.458994208929152
"Gene.843",0.9519193879748,0.630636279954292,0.560230189130275,-0.171355273238832,-0.238347029576759,0.156923837779661
"Gene.844",0.953868218467041,0.807302742728201,0.3422596537156,-0.376937417604659,-0.399250941483994,0.366190280326065
"Gene.845",0.384414121764591,0.0621022237115334,0.0476004624978093,-0.143739084552308,-0.149344369393788,0.451989015527036
"Gene.846",0.969979916418533,0.692363997220561,0.540625274115634,-0.204048837030534,-0.265060633561415,0.212316585471831
"Gene.847",0.96068568545448,0.640499209340534,0.529123215280776,-0.207909550962229,-0.358283171176424,0.1400068766941
"Gene.848",0.956986870918427,0.590244396756076,0.561042455587923,-0.159552898907097,-0.26176884652452,0.173463705022882
"Gene.849",0.905541111946389,0.667589357729691,0.467042245421178,-0.235873393669785,-0.183842097244461,0.23835988605323
"Gene.850",0.975104179775032,0.69283089270329,0.506722268248651,-0.229725577632011,-0.319988650727971,0.23189830429402
"Gene.851",0.0241352502810235,-0.387132090267916,0.670877341284304,0.636726218045987,0.268431868241483,-0.711422652103109
"Gene.852",0.965178081192754,0.688003525230867,0.460160459284168,-0.274323727849436,-0.352632700946861,0.239275755226569
"Gene.853",0.830322139073138,0.903487478114944,0.208568098419718,-0.463019211063787,-0.409503339957267,0.395970237934287
"Gene.854",0.782556619311654,0.597581074320491,0.152797414067121,-0.439694985573388,-0.462655796924122,0.413250026616341
"Gene.855",-0.553854231626269,-0.40896636140867,0.0174006624877103,0.437359685386615,0.401910422671576,-0.465015459903557
"Gene.856",0.764992553588423,0.531300097249929,0.153835105288566,-0.407868851402966,-0.543364884222961,0.36538001833112
"Gene.857",0.964387464640738,0.664757645915795,0.505113622512197,-0.224897527018507,-0.256205544099185,0.250933341904656
"Gene.858",0.924324406430523,0.61521031367892,0.465492089076387,-0.232490041218412,-0.213239802220356,0.281120114251234
"Gene.859",0.881397974790356,0.599862295390066,0.371808574541283,-0.309934623027601,-0.472899805612332,0.155446420096196
"Gene.860",0.953310343714789,0.729801697400912,0.455500127279715,-0.287176735973417,-0.388552369165642,0.19183519419768
"Gene.861",0.651998931385957,0.784700924316327,-0.098761838875416,-0.609278105427271,-0.58649895265623,0.491146456507504
"Gene.862",0.811551285722972,0.668401947081332,0.22310330897583,-0.376113263402175,-0.384624046714392,0.37492420338412
"Gene.863",-0.113028857618958,0.338989623310172,-0.592737819357093,-0.486982971853507,-0.0855918770809843,0.692965404827227
"Gene.864",0.725384947912027,0.64726020958563,0.163189940104068,-0.374917518453878,-0.582185051036627,0.314562514588446
