"","V1","V2","V3"
"3234",0.3095,0.03901,0.10259
"3235",0.33725,0.052171,0.11919
"3236",0.35375,0.063608,0.13181
"3237",0.3883,0.070899,0.14551
"3238",0.29702,0.03512,0.096687
"3239",0.26113,0.032847,0.086511
"3240",0.23577,0.024651,0.074278
"3241",0.28899,0.033743,0.093746
"3242",0.2427,0.025534,0.076585
"3243",0.27912,0.032112,0.090176
"3244",0.37358,0.06203,0.13527
"3245",0.41348,0.086043,0.16302
"3246",0.32746,0.043082,0.10993
"3247",0.28808,0.035811,0.095113
"3248",0.36031,0.057351,0.12857
"3249",0.27889,0.032056,0.09008
"3250",0.33035,0.043572,0.11099
"3251",0.37053,0.06157,0.1342
"3252",0.42079,0.094994,0.17158
"3253",0.23891,0.025305,0.075518
"3254",0.42134,0.098583,0.17446
"3255",0.47342,0.14549,0.22258
"3256",0.27518,0.032861,0.089823
"3257",0.24912,0.027222,0.079383
"3258",0.23656,0.025928,0.075441
"3259",0.24885,0.027112,0.079236
"3260",0.24573,0.026996,0.078414
"3261",0.25068,0.028022,0.080363
"3262",0.2363,0.02577,0.075259
"3263",0.34669,0.052598,0.12173
"3264",0.3772,0.070795,0.14282
"3265",0.26704,0.029984,0.08571
"3266",0.2457,0.026904,0.078336
"3267",0.39268,0.068941,0.14504
"3268",0.20191,0.020193,0.062909
"3269",0.20256,0.019985,0.062903
"3270",0.37639,0.061994,0.1359
"3271",0.22768,0.023368,0.071397
"3272",0.29077,0.034861,0.095018
"3273",0.36345,0.054865,0.1274
"3274",0.40725,0.083708,0.15976
"3275",0.3255,0.048167,0.11336
"3276",0.28493,0.035259,0.093951
"3277",0.33754,0.044551,0.11343
"3278",0.28331,0.033035,0.091868
"3279",0.2246,0.023188,0.070536
"3280",0.36587,0.05845,0.13072
"3281",0.43831,0.11099,0.18793
"3282",0.24711,0.023602,0.076142
"3283",0.22443,0.022988,0.070341
"3284",0.30317,0.039045,0.10113
"3285",0.25143,0.029282,0.081503
"3286",0.28622,0.03326,0.092725
"3287",0.39364,0.074541,0.14955
"3288",0.21211,0.022846,0.067338
"3289",0.24903,0.025506,0.07805
"3290",0.28485,0.032216,0.091603
"3291",0.32498,0.045025,0.11083
"3292",0.2637,0.029137,0.084277
"3293",0.41464,0.091114,0.16717
"3294",0.23645,0.026967,0.076211
"3295",0.30534,0.036725,0.099868
"3296",0.30022,0.03617,0.098242
"3297",0.34604,0.053413,0.1222
"3298",0.36117,0.058758,0.12985
"3299",0.26594,0.027616,0.083639
"3300",0.37548,0.064488,0.13759
"3301",0.31139,0.0351,0.10005
"3302",0.27699,0.031502,0.08921
"3303",0.25556,0.027281,0.080944
"3304",0.23252,0.024138,0.073124
"3305",0.2233,0.022218,0.069487
"3306",0.23988,0.026262,0.076478
"3307",0.20536,0.019225,0.062981
"3308",0.35172,0.048949,0.12012
"3309",0.3867,0.076075,0.14909
"3310",0.46118,0.13359,0.2106
"3311",0.22196,0.022635,0.069491
"3312",0.21032,0.023145,0.067145
"3313",0.35076,0.04959,0.12039
"3314",0.35873,0.054995,0.1264
"3315",0.30039,0.038717,0.10023
"3316",0.46818,0.14036,0.21742
"3317",0.20123,0.021319,0.063612
"3318",0.25287,0.024937,0.078518
"3319",0.25812,0.028552,0.082517
"3320",0.22512,0.023112,0.070598
"3321",0.22623,0.024464,0.071893
"3322",0.32501,0.045968,0.11156
"3323",0.19869,0.020886,0.062684
"3324",0.34692,0.048671,0.11878
"3325",0.27848,0.032101,0.090017
"3326",0.22194,0.02452,0.070928
"3327",0.2729,0.032764,0.089215
"3328",0.25571,0.024282,0.078683
"3329",0.2243,0.02267,0.070069
"3330",0.42525,0.098643,0.17542
"3331",0.24799,0.025251,0.07761
"3332",0.26623,0.028987,0.084757
"3333",0.29235,0.030752,0.092246
"3334",0.25977,0.030019,0.084027
"3335",0.21432,0.022998,0.067972
"3336",0.42834,0.10391,0.18018
"3337",0.42375,0.097594,0.17426
"3338",0.22113,0.023061,0.069622
"3339",0.284,0.035191,0.093679
"3340",0.43838,0.11102,0.18797
"3341",0.2976,0.036522,0.097896
"3342",0.27015,0.032053,0.088023
"3343",0.43339,0.10644,0.1833
"3344",0.25765,0.025544,0.080106
"3345",0.20269,0.02551,0.073876
"3346",0.22508,0.036415,0.087915
"3347",0.23454,0.041418,0.094135
"3348",0.21001,0.030474,0.079482
"3349",0.23689,0.04305,0.095961
"3350",0.23052,0.038976,0.091262
"3351",0.2388,0.0487,0.10059
"3352",0.21257,0.028503,0.078748
"3353",0.24911,0.047772,0.10273
"3354",0.21905,0.032605,0.083498
"3355",0.2244,0.035791,0.087274
"3356",0.25431,0.052447,0.10755
"3357",0.23073,0.037787,0.090454
"3358",0.27143,0.064546,0.12102
"3359",0.23589,0.04228,0.095129
"3360",0.25104,0.055096,0.10858
"3361",0.25544,0.056303,0.11066
"3362",0.29384,0.081369,0.13937
"3363",0.26866,0.063656,0.11962
"3364",0.21015,0.026683,0.076763
"3365",0.27683,0.069498,0.12609
"3366",0.26696,0.064043,0.11943
"3367",0.23911,0.048175,0.10029
"3368",0.2765,0.069506,0.12601
"3369",0.29729,0.085524,0.14333
"3370",0.2587,0.058372,0.11305
"3371",0.27594,0.062964,0.1211
"3372",0.25633,0.055396,0.11025
"3373",0.26931,0.0618,0.11844
"3374",0.23961,0.048705,0.10082
"3375",0.28678,0.077829,0.13487
"3376",0.25373,0.046792,0.10328
"3377",0.25496,0.056739,0.11085
"3378",0.2611,0.050147,0.10773
"3379",0.26139,0.058674,0.11401
"3380",0.29458,0.077183,0.13653
"3381",0.24838,0.048402,0.10299
"3382",0.29073,0.078683,0.13656
